Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
鲜明,bright (w/ x)<br>clear-cut<br>distinct,"""<span class=""""tone1"""">xiān</span><span class=""""tone2"""">míng</span> <!-- xian ming -->""","""<span class=""""tone1"""">鲜</span><span class=""""tone2"""">明</span>""",,[sound:鲜明_google_zh-CN.mp3],,鮮明,,"""<span class=""""tone1""""><ruby>鲜<rt>xiān</rt></ruby></span><span class=""""tone2""""><ruby>明<rt>míng</rt></ruby></span>""",_ _,
照亮,to illuminate<br>to light up<br>lighting,zhàoliàng,照亮,,,,,,,,
规矩,manners<br>to behave/good-behavior,guīju,规矩,,,,,,,,
规律,rule (of nature)<br>discipline<br>regular (pattern),guīlǜ,规律,,,,,,,,
结账,"to check-out (from hotel, store)","""<span class=""""tone2"""">jié</span><span class=""""tone4"""">zhàng</span> <!-- jie zhang -->""","""<span class=""""tone2"""">结</span><span class=""""tone4"""">账</span>""",,[sound:结账_google_zh-CN.mp3],,結賬,結帳|结帐,"""<span class=""""tone2""""><ruby>结<rt>jié</rt></ruby></span><span class=""""tone4""""><ruby>账<rt>zhàng</rt></ruby></span>""",_ _,
切碎,to chop (w/ q),qiēsuì,切碎,,,,,,,,
国籍,nationality,guójí,国籍,,,,,,,,
不分,irrespective of...<div>to not distinguish between...</div>,bùfēn,不分,,,,,,,,
雇佣,to employ (w/ g)<div>to hire</div>,gùyōng,雇佣,,,,,,,_ _,
<table><tbody><tr><td>国庆节</td></tr><tr></tr></tbody></table>,National Day,guóqìng jié,<table><tbody><tr><td>国庆节</td></tr><tr></tr></tbody></table>,,,,,,,,
树干,tree trunk,shùgàn,树干,,,,,,,,
果实,fruit (w/ g),guǒshí,果实,,,,,,,_ _,
海关,customs (as in border crossing inspection),hǎiguān,海关,,,,,,,,
胡同,Hutong<div>lane</div><div>alley</div>,hútòng,胡同,,,,,,,,
沏,to steep (tea),qī,沏,,,,,,,,
蝴蝶,butterfly,húdié,蝴蝶,只,,,,,,,
飞蛾,moth,"""<table><tbody><tr><td>fēi'é</td></tr><tr></tr></tbody></table>""",飞蛾,,,,,,,,
种类,kind (w/ zh)<div>variety</div><div>species</div>,zhǒnglèi,种类,,,,,,,_ _,
渴望,to thirst for<div>to long for</div>,kěwàng,渴望,,,,,,,,
航行,to sail<div>to fly</div><div>to navigate</div>,hángxíng,航行,,,,,,,,
罗盘,compass,"""<span class=""""tone2"""">luó</span><span class=""""tone2"""">pán</span> <!-- luo pan -->""","""<span class=""""tone2"""">罗</span><span class=""""tone2"""">盘</span>""",,[sound:罗盘_google_zh-CN.mp3],,羅盤,,"""<span class=""""tone2""""><ruby>罗<rt>luó</rt></ruby></span><span class=""""tone2""""><ruby>盘<rt>pán</rt></ruby></span>""",_ _,
搜查,"to search (of police, customs, etc)",sōuchá,搜查,,,,,,,,
不顾,despite...<div>inspite of...</div>,bùgù,不顾,,,,,,,不 _,
割破,to cut (skin)<div>a cut</div>,gēpò,割破,,,,,,,,
花生,peanut,huāshēng,花生,,,,,,,,
蜂蜜,honey,fēngmì,蜂蜜,,,,,,,,
幻想,<div>fantasy</div><div>delusion</div>,huànxiǎng,幻想,,,,,,,,
皇后,empress<div>imperial consort</div>,huánghòu,皇后,,,,,,,,
提升,"to promote (at job, not 升职)",tíshēng,提升,,,,,,,,
决心,determination<div>resolution</div><div>determined</div><div>resolute</div>,juéxīn,决心,,,,,,,,
下定决心要...,"""to make up one's mind to...""",xiàdìng juéxīn yào...,下定决心要...,,,,,,,_ _ _ _ _...,
留宿一晚,to stay an evening (w/ l),liúsù yī wǎn,留宿一晚,,,,,,,_ _ _ _,
留宿,to stay overnight<br>to put up a guest,liúsù,留宿,,,,,,,,
建造,"to build, construct (an item)",jiànzào,建造,,,,,,,,
胶水,glue,jiāoshuǐ,胶水,,,,,,,,
间隙,a gap (w/ j),jiànxì,间隙,,,,,,,,
填,"to fill (a gap, cavity)<br>to fill in (a form)",tián,填,,,,,,,,
浓,"thick (as in concentrated, dense)",nóng,浓,,,,,,,,
稀,"thin (as in watery, sparse)",xī,稀,,,,,,,,
飞船,spaceship<br>airship,fēichuán,飞船,,,,,,,,
英尺,foot (0.3 meters),yīngchǐ,英尺,,,,,,,,
气体,a gas (n.),qìtǐ,气体,,,,,,,,
地下室,basement,dìxià shì,地下室,,,,,,,,
我来了你的家,I came to your house. (了 past tense loc.),wǒ láile nǐ de jiā,我来了你的家,,,,,,,,
我来你的家了,"""I've come to your house. (了change of state loc)""",wǒ lái nǐ de jiāle,我来你的家了,,,,,,,,
瑞典,Sweden,Ruìdiǎn,瑞典,,,,,,,,
助词,particle (grammatical),zhùcí,助词,,,,,,,,
时态,(verb) tense,shítài,时态,,,,,,,,
现在时态,present tense,xiànzài shí tài,现在时态,,,,,,,,
过去时,past tense,guòqù shí,过去时,,,,,,,,
将来时,future tense,jiānglái shí,将来时,,,,,,,,
额外,extra (w/ e),éwài,额外,,,,,,,,
额外支付,to pay extra<br>additional payment,"""<span class=""""tone2"""">é</span><span class=""""tone4"""">wài</span> <span class=""""tone1"""">zhī</span><span class=""""tone4"""">fù</span> <!-- e wai zhi fu -->""","""<span class=""""tone2"""">额</span><span class=""""tone4"""">外</span><span class=""""tone1"""">支</span><span class=""""tone4"""">付</span>""",,[sound:额外支付_google_zh-CN.mp3],,額外支付,,"""<span class=""""tone2""""><ruby>额<rt>é</rt></ruby></span><span class=""""tone4""""><ruby>外<rt>wài</rt></ruby></span><span class=""""tone1""""><ruby>支<rt>zhī</rt></ruby></span><span class=""""tone4""""><ruby>付<rt>fù</rt></ruby></span>""",_ _ _ _,
响,ring (sound)<br>to ring<br>echo,xiǎng,响,,,,,,,_,
倒时差,jetlag,<table><tbody><tr><td>dǎo shíchā</td></tr></tbody></table>,倒时差,,,,,,,,
维度,dimension (math)<br>dimensionality,"""<span class=""""tone2"""">wéi</span><span class=""""tone4"""">dù</span> <!-- wei du -->""","""<span class=""""tone2"""">维</span><span class=""""tone4"""">度</span>""",,[sound:维度_google_zh-CN.mp3],,維度,,"""<span class=""""tone2""""><ruby>维<rt>wéi</rt></ruby></span><span class=""""tone4""""><ruby>度<rt>dù</rt></ruby></span>""",_ _,
昏迷,coma<br>to be in a coma,hūnmí,昏迷,,,,,,,,
万一,what if... (something undesireable and highly unlikely)<br>in the unlikely event that...,wànyī,万一,,,,,,,,
报警,to call the police,bàojǐng,报警,,,,,,,,
。。。以防万一,...just in case,"""...<span class=""""tone3"""">yǐ</span> <span class=""""tone2"""">fáng</span> <span class=""""tone4"""">wàn</span> <span class=""""tone1"""">yī</span> <!-- yi fang wan yi -->""","""<span class=""""tone3"""">以</span><span class=""""tone2"""">防</span><span class=""""tone4"""">万</span><span class=""""tone1"""">一</span>""",,[sound:以防万一_google_zh-CN.mp3],,...以防萬一,,"""<span class=""""tone3""""><ruby>以<rt>yǐ</rt></ruby></span><span class=""""tone2""""><ruby>防<rt>fáng</rt></ruby></span><span class=""""tone4""""><ruby>万<rt>wàn</rt></ruby></span><span class=""""tone1""""><ruby>一<rt>yī</rt></ruby></span>""",..._ _ _ _,
相符,is consistent with<br>to match (not 相配),xiāngfú,相符,,,,,,,,
攀岩,rock climbing,pānyán,攀岩,,,,,,,,
语音书,audiobook,yǔyīn shū,语音书,,,,,,,,
脚踏,pedal (n.),jiǎotà,脚踏,,,,,,,,
踩脚踏,to pedal,cǎi jiǎo tà,踩脚踏,,,,,,,,
老套,hackneyed<br>well-worn<br>clichéd,lǎotào,老套,,,,,,,,
亲戚,relatives (family relation - not 家人),qīnqi,亲戚,,,,,,,,
评价,"to evaluate, to assess<br>comments, reviews, opinions (not 评论)",píngjià,评价,,,,,,,,
含量,content (as in quantity contained),hánliàng,含量,,,,,,,,
蛋白质含量,protein content,dànbáizhi4 hánliàng,蛋白质含量,,,,,,,,
谨慎,"cautious, prudent",jǐnshèn,谨慎,,,,,,,,
布满,to be covered with (w/ b)<div>to be filled with</div>,bùmǎn,布满,,,,,,,,
台子,"counter (in a kitchen, etc...)","""<span class=""""tone2"""">tái</span> <span class=""""tone5"""">zi</span> <!-- tai zi -->""","""<span class=""""tone2"""">台</span><span class=""""tone5"""">子</span>""",,[sound:台子_google_zh-CN.mp3],,檯子,,"""<span class=""""tone2""""><ruby>台<rt>tái</rt></ruby></span><span class=""""tone5""""><ruby>子<rt>zi</rt></ruby></span>""",_ _,
<table><tbody><tr><td>发电厂</td></tr><tr></tr></tbody></table>,power plant,fādiàn chǎng,<table><tbody><tr><td>发电厂</td></tr><tr></tr></tbody></table>,,,,,,,,
周末愉快!,Have a good weekend!,Zhōumò yúkuài!,周末愉快!,,,,,,,_ _ _ _ !,
氢,hydrogen,qīng,氢,,,,,,,,
氧,oxygen (chemistry),yǎng,氧,,,,,,,,
纯氢,pure hydrogen,chún qīng,纯氢,,,,,,,,
消耗,<div>to consume/use (not 消费)</div>,xiāohào,消耗,,,,,,,,
体感温度,apparent temp (meteorology),tǐgǎn wēndù,体感温度,,,,,,,,
甲烷,methane,"""<span class=""""tone3"""">jiǎ</span><span class=""""tone2"""">wán</span> <!-- jia wan -->""","""<span class=""""tone3"""">甲</span><span class=""""tone2"""">烷</span>""",,[sound:甲烷_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>甲<rt>jiǎ</rt></ruby></span><span class=""""tone2""""><ruby>烷<rt>wán</rt></ruby></span>""",_ _,
干冰,dry ice,gānbīng,干冰,,,,,,,,
网红,an internet celebrity,wǎnghóng,网红,,,,,,,,
一氧化碳,carbon monoxide (CO),<table><tbody><tr><td>yī yǎnghuà tàn</td></tr><tr></tr></tbody></table>,一氧化碳,,,,,,,,
氧化,to oxidize,yǎnghuà,氧化,,,,,,,,
碳,carbon,tàn,碳,,,,,,,,
二氧化碳,carbon dioxide (CO2),èr yǎnghuà tàn,二氧化碳,,,,,,,,
排放,emissions<div>discharge</div><div>exhaust</div>,páifàng,排放,,,,,,,,
温室,a greenhouse,wēnshì,温室,,,,,,,,
<table><tbody><tr><td>温室气体</td></tr><tr></tr></tbody></table>,greenhouse gases,<table><tbody><tr><td>wēnshì qìtǐ</td></tr><tr></tr></tbody></table>,<table><tbody><tr><td>温室气体</td></tr><tr></tr></tbody></table>,,,,,,,,
脱水,to dehydrate<div>dehydrated</div>,tuōshuǐ,脱水,,,,,,,,
燃料,fuel,ránliào,燃料,,,,,,,,
<table><tbody><tr><td>化石燃料</td></tr><tr></tr></tbody></table>,fossil fuel,<table><tbody><tr><td>huàshí ránliào</td></tr><tr></tr></tbody></table>,<table><tbody><tr><td>化石燃料</td></tr><tr></tr></tbody></table>,,,,,,,,
邮件,mail,yóujiàn,邮件,,,,,,,,
金属,metal,jīnshǔ,金属,,,,,,,,
证书,certificate<div>credentials</div>,zhèngshū,证书,,,,,,,,
原材料,raw materials,yuan2 cai2liao4,原材料,,,,,,,,
芯片,(computer) chip,xīnpiàn,芯片,,,,,,,,
后勤,logistics,hòuqín,后勤,,,,,,,,
大理石,marble,<table><tbody><tr><td>dàlǐ shí</td></tr><tr></tr></tbody></table>,大理石,,,,,,,,
通风,ventilation<div>to ventilate</div><div>ventilated</div>,tōngfēng,通风,,,,,,,,
效应,effect (as in scientific phenomenon),"""<span class=""""tone4"""">xiào</span><span class=""""tone4"""">yìng</span> <!-- xiao ying -->""","""<span class=""""tone4"""">效</span><span class=""""tone4"""">应</span>""",,[sound:效应_google_zh-CN.mp3],,效應,,"""<span class=""""tone4""""><ruby>效<rt>xiào</rt></ruby></span><span class=""""tone4""""><ruby>应<rt>yìng</rt></ruby></span>""",_ _,
融合,<div>harmony</div><div>to be in harmony with</div><div>amalgamation</div><div>fusion</div>,rónghé,融合,,,,,,,,
人体,the human body,réntǐ,人体,,,,,,,_ _,
整体上。。。<br>,overall...<div>altogether...</div>,zhěngtǐ shàng...,整体上。。。<br>,,,,,,,_ _ 上。。。,
恐怖,frightening<div>frightful<br><div>terrible</div></div>,kǒngbù,恐怖,,,,,,,,
场面,scene (as in situation)<div>spectacle</div>,chǎngmiàn,场面,,,,,,,,
恐惧,fear<div>dread</div>,kǒngjù,恐惧,,,,,,,,
吞没,to engulf<div>to swallow up</div>,tūnmò,吞没,,,,,,,,
遗嘱,will (legal document),yízhǔ,遗嘱,,,,,,,,
立下遗嘱,to make out a will,lì xià yízhǔ,立下遗嘱,,,,,,,,
打哆嗦,to tremble<div>to shiver</div><div>to shudder</div>,<table><tbody><tr><td>dǎ duōsuo</td></tr><tr></tr></tbody></table>,打哆嗦,,,,,,,,
退缩,to cower<div>to shrink</div>,tuìsuō,退缩,,,,,,,,
跨,to step across<div>to straddle</div><div>to span</div>,kuà,跨,,,,,,,_,
赤脚,barefoot,chìjiǎo,赤脚,,,,,,,,
克服,to overcome<div>to endure</div><div>to conquer</div>,kèfú,克服,,,,,,,,
山谷,valley<div>ravine</div>,shāngǔ,山谷,,,,,,,,
竖起大拇指,Thumbs up!<div>to give a thumbs up</div>,shùqǐ dàmǔzhǐ,竖起大拇指,,,,,,,,
大拇指,thumb,dà mǔzhǐ,大拇指,,,,,,,,
录制,to record (video or audio),lùzhì,录制,,,,,,,,
不足,"insufficient, lacking (not 不够)",bùzú,不足,,,,,,,不 _,
陪伴,to accompany<div>accompaniment</div><div>company</div>,péibàn,陪伴,,,,,,,_ _,
质疑,to call into question...,zhìyí,质疑,,,,,,,,
眼球,eyeball,yǎnqiú,眼球,,,,,,,,
风化,decency<div>public morals</div><div>to weather/erode</div><div>erosion</div>,fēnghuà,风化,,,,,,,,
裸体,naked,luǒtǐ,裸体,,,,,,,,
峡谷,canyon,xiágǔ,峡谷,,,,,,,,
大峡谷,the Grand Canyon,dà xiágǔ,大峡谷,,,,,,,,
行人,pedestrian<div>passer-by</div><div>traveler on foot</div>,xíngrén,行人,,,,,,,,
瀑布,waterfall,pùbù,瀑布,,,,,,,,
洞穴,cave<div>cavern</div>,dòngxué,洞穴,,,,,,,,
老手,an old-hand (experienced person),lǎoshǒu,老手,,,,,,,,
成名,"""to make one's name<div>to become famous</div>""",chéngmíng,成名,,,,,,,,
降级,to demote<div>to relegate</div><div>to degrade</div>,jiàngjí,降级,,,,,,,,
冒险,to take risks,màoxiǎn,冒险,,,,,,,,
跳跃,to jump<div>to leap</div>,tiàoyuè,跳跃,,,,,,,_ _,
任意,at will<div>at random</div>,rènyì,任意,,,,,,,,
顶端,peak (w/ d)<div>summit</div>,dǐngduān,顶端,,,,,,,,
触碰,to touch (but not nec. to feel),chùpèng,触碰,,,,,,,,
感知,perception<div>awareness</div>,gǎnzhī,感知,,,,,,,,
在那上面,up there,zài nà shàngmiàn,在那上面,,,,,,,,
穿上去,to put on (clothes),chuān shàngqù,穿上去,,,,,,,,
背着他们做,to do (something) behind their backs,bèizhe tāmen zuò,背着他们,,,,,,,,
快感,thrill<div>pleasurable high</div>,kuàigǎn<br>,快感,,,,,,,,
单调,monotonous,dāndiào,单调,,,,,,,,
枯燥,dry and dull,kūzào,枯燥,,,,,,,,
不断,unceasing<div>continuous</div>,bùduàn,不断,,,,,,,,
骂,to scold<div>to curse</div>,mà,骂,,,,,,,,
支流,tributary (river),zhīliú,支流,,,,,,,,
笔记,notes<div>to take down in writting</div>,bǐjì,笔记,,,,,,,,
默写,to write from memory,mòxiě,默写,,,,,,,,
社交活动,social activities,"""<span class=""""tone4"""">shè</span><span class=""""tone1"""">jiāo</span> <span class=""""tone2"""">huó</span><span class=""""tone4"""">dòng</span> <!-- she jiao huo dong -->""","""<span class=""""tone4"""">社</span><span class=""""tone1"""">交</span><span class=""""tone2"""">活</span><span class=""""tone4"""">动</span>""",,[sound:社交活动_google_zh-CN.mp3],,社交活動,,"""<span class=""""tone4""""><ruby>社<rt>shè</rt></ruby></span><span class=""""tone1""""><ruby>交<rt>jiāo</rt></ruby></span><span class=""""tone2""""><ruby>活<rt>huó</rt></ruby></span><span class=""""tone4""""><ruby>动<rt>dòng</rt></ruby></span>""",_ _ _ _,
中档,mid-grade<div>middling quality</div>,zhōngdàng,中档,,,,,,,,
低档,low-grade<div>low quality</div>,dīdàng,低档,,,,,,,,
结果是。。。,turned out to be...,jiéguǒ shì...,结果是。。。,,,,,,,,
高档,high-grade<div>superior quality</div>,gāodàng,高档,,,,,,,,
乌克兰,Ukraine,wū kèlán,乌克兰,,,,,,,,
过头,to overdo it (w/ g)<div>excessive</div>,guòtóu,过头,,,,,,,,
实惠,affordable<div>economical</div>,shíhuì,实惠,,,,,,,,
讲究,to be particular about<div>to pay particular attention to</div>,jiǎngjiu,讲究,,,,,,,,
祛暑,to drive away the heat,qūshǔ,祛暑,,,,,,,,
祛,to drive away<div>to dispel</div>,qū,祛,,,,,,,,
下列。。。,the following...,xiàliè...,下列。。。,,,,,,,,
恋人<br>,lover<div>sweetheart</div>,liànrén,恋人,,,,,,,,
上级,superiors<div>higher-ups</div>,shàngjí,上级,,,,,,,,
特色,a distinguishing feature or quality<div>characteristic</div>,tèsè,特色,,,,,,,,
风味,"""something's distinctive flavor or style""",fēngwèi,风味,,,,,,,,
浓重,rich (of food or colors)<div>strong</div><div>thick/heavy</div>,nóngzhòng,浓重,,,,,,,_ _,
主食,staple (as in main food),zhǔshí,主食,,,,,,,,
稻米,rice (not 大米),dàomǐ,稻米,,,,,,,_ 米,
小麦,wheat,"""<span class=""""tone3"""">xiǎo</span><span class=""""tone4"""">mài</span> <!-- xiao mai -->""","""<span class=""""tone3"""">小</span><span class=""""tone4"""">麦</span>""",,[sound:小麦_google_zh-CN.mp3],,小麥,,"""<span class=""""tone3""""><ruby>小<rt>xiǎo</rt></ruby></span><span class=""""tone4""""><ruby>麦<rt>mài</rt></ruby></span>""",_ _,
体会,"experience, understanding (not 体验)",tǐhuì,体会,,,,,,,体_,
久而久之,over time,jiǔ ér jiǔzhī,久而久之,,,,,,,_ _ _ _,
赢家,winner,yíngjiā,赢家,,,,,,,,
输家,loser,shūjiā,输家,,,,,,,,
焦虑,"axious, anxiety (not 紧张)",jiāolǜ,焦虑,,,,,,,,
门槛,threshold (fig. and lit.),ménkǎn,门槛,,,,,,,,
视角,perspective,shìjiǎo,视角,,,,,,,,
世界的啤酒之都,the beer capital of the world,shìjiè de píjiǔ zhī dū,世界的啤酒之都,,,,,,,,
凝乳,curd,níngrǔ,凝乳,,,,,,,,
食材,(food) ingredient (w/ sh),shícái,食材,,,,,,,,
原型,"model, prototype, archetype - not 模型",yuánxíng,原型,,,,,,,,
指定,to indicate<div>to designate</div><div>the indicated</div><div>the designated</div>,zhǐdìng,指定,,,,,,,,
不管怎么说,whatever anyone says...<div>no matter what...</div>,bùguǎn zěnme shuō,不管怎么说,,,,,,,不管_ _ _,
投票,to vote<div>vote</div>,tóupiào,投票,,,,,,,,
美丽,beautiful,měilì,美丽,,,,,,,,
因素,factor<div>element</div>,yīnsù,因素,,,,,,,,
清晰,"clear, distinct (of an image, not 清楚)",qīngxī,清晰,,,,,,,清 _,
清晰度,definition<div>sharpness</div><div>clarity</div>,qīngxī dù,清晰度,,,,,,,,
并,"and, also (w/ b)<div>(not) at all</div>",bìng,并,,,,,,,,
餐会,dinner party<div>luncheon</div>,cānhuì,餐会,,,,,,,,
甜点,dessert (not 甜品),tiándiǎn,甜点,,,,,,,,
敬酒,to propose a toast (not 干杯)<div>to make a toast</div>,jìngjiǔ,敬酒,,,,,,,,
一家三口,a family of three,yījiā sānkǒu,一家三口,,,,,,,,
吐司,toast,tǔ sī,吐司,,,,,,,,
脑子里一片空白,"""my mind's a blank""",nǎozi lǐ yīpiàn kòngbái,脑子里一片空白,,,,,,,,
提示,hint,"""<span class=""""tone2"""">tí</span><span class=""""tone4"""">shì</span> <!-- ti shi -->""","""<span class=""""tone2"""">提</span><span class=""""tone4"""">示</span>""",,[sound:提示_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>提<rt>tí</rt></ruby></span><span class=""""tone4""""><ruby>示<rt>shì</rt></ruby></span>""",_ _,
存款,to deposit (in a bank)<div>a deposit</div>,cúnkuǎn,存款,,,,,,,,
曼哈顿,Manhattan,mànhādùn,曼哈顿,,,,,,,,
幸运,lucky,xìngyùn,幸运,,,,,,,,
有线电视,cable TV,yǒuxiàn diànshì,有线电视,,,,,,,,
香料,spices,xiāngliào,香料,,,,,,,,
娱乐圈,entertainment industry,yúlè quān,娱乐圈,,,,,,,,
顾虑,misgivings<div>apprehensions</div>,"""<span class=""""tone4"""">gù</span><span class=""""tone4"""">lǜ</span> <!-- gu lü -->""","""<span class=""""tone4"""">顾</span><span class=""""tone4"""">虑</span>""",,[sound:顾虑_google_zh-CN.mp3],,顧慮,,"""<span class=""""tone4""""><ruby>顾<rt>gù</rt></ruby></span><span class=""""tone4""""><ruby>虑<rt>lǜ</rt></ruby></span>""",_ _,
信用卡都刷爆了,"""to max out one's credit card""",xìnyòngkǎ dōu shuā bàole,信用卡都刷爆了,,,,,,,,
喝冷水都会塞牙缝,so unluckly he gets cold water stuck in his teeth,hē lěngshuǐ dōuhuìsāi yá fèng,喝冷水都会塞牙缝,,,,,,,,
生动,"vivid, lively (not 生机)",shēngdòng,生动,,,,,,,,
摇滚乐,"""rock 'n roll""",yáogǔn yuè,摇滚乐,,,,,,,,
首选,first choice,shǒuxuǎn,首选,,,,,,,,
直白,"blunt, straightforward (w/ zh)",zhíbái,直白,,,,,,,,
封锁,to blockade<div>to lock down<br><div>to seal off</div></div>,fēngsuǒ,封锁,,,,,,,,
倒霉,to have bad luck<div>to be out of luck</div>,"""<span class=""""tone3"""">dǎo</span><span class=""""tone2"""">méi</span> <!-- dao mei -->""","""<span class=""""tone3"""">倒</span><span class=""""tone2"""">霉</span>""",,[sound:倒霉_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>倒<rt>dǎo</rt></ruby></span><span class=""""tone2""""><ruby>霉<rt>méi</rt></ruby></span>""",_ _,
戒严,martial law<div>to impose martial law</div>,jièyán,戒严,,,,,,,,
多谢多谢,thank you! (colloquial),duōxiè duōxiè,多谢多谢,,,,,,,A B A B,
水费,the water bill,shuǐ fèi,水费,,,,,,,,
包含,to include - to consist of (not 包括),bāohán,包含,,,,,,,,
爱德华,Edward,àidéhuá,爱德华,,,,,,,,
少花钱,to spend less money,shǎo huā qián,少花钱,,,,,,,,
买不起,to be unable to afford (as in buying a thing),mǎi bù qǐ,买不起,,,,,,,,
付不起,unable to afford (as in a payment),fù bù qǐ,付不起,,,,,,,,
介绍他到。。。,to introduce him to (smbdy),"""<span class=""""tone4"""">jiè</span><span class=""""tone4"""">shào</span> <span class=""""tone1"""">tā</span> <span class=""""tone4"""">dào</span> <span class=""""tone5"""">.</span> <span class=""""tone5"""">.</span> <span class=""""tone5"""">.</span> <!-- jie shao ta dao . . . -->""","""<span class=""""tone4"""">介</span><span class=""""tone4"""">绍</span><span class=""""tone1"""">他</span><span class=""""tone4"""">到</span>。。。""",,[sound:介绍他到。。。_google_zh-CN.mp3],,介紹他到。。。,,"""<span class=""""tone4""""><ruby>介<rt>jiè</rt></ruby></span><span class=""""tone4""""><ruby>绍<rt>shào</rt></ruby></span><span class=""""tone1""""><ruby>他<rt>tā</rt></ruby></span><span class=""""tone4""""><ruby>到<rt>dào</rt></ruby></span>。。。""",_ _ _ _。。。,
进退两难,to be in a dilema (colloquialism)<br>to be in an impossible situation,"""<span class=""""tone4"""">jìn</span><span class=""""tone4"""">tuì</span> <span class=""""tone3"""">liǎng</span><span class=""""tone2"""">nán</span> <!-- jin tui liang nan -->""","""<span class=""""tone4"""">进</span><span class=""""tone4"""">退</span><span class=""""tone3"""">两</span><span class=""""tone2"""">难</span>""",,[sound:进退两难_google_zh-CN.mp3],,進退兩難,,"""<span class=""""tone4""""><ruby>进<rt>jìn</rt></ruby></span><span class=""""tone4""""><ruby>退<rt>tuì</rt></ruby></span><span class=""""tone3""""><ruby>两<rt>liǎng</rt></ruby></span><span class=""""tone2""""><ruby>难<rt>nán</rt></ruby></span>""",_ _ _ _,
写字楼,office building,xiězì lóu,写字楼,,,,,,,,
数码,digital,shùmǎ,数码,,,,,,,,
聚焦,focus,jùjiāo,聚焦,,,,,,,,
主题曲,theme song,"""<span class=""""tone3"""">zhǔ</span><span class=""""tone2"""">tí</span> <span class=""""tone3"""">qǔ</span> <!-- zhu ti qu -->""","""<span class=""""tone3"""">主</span><span class=""""tone2"""">题</span><span class=""""tone3"""">曲</span>""",,[sound:主题曲_google_zh-CN.mp3],,主題曲,,"""<span class=""""tone3""""><ruby>主<rt>zhǔ</rt></ruby></span><span class=""""tone2""""><ruby>题<rt>tí</rt></ruby></span><span class=""""tone3""""><ruby>曲<rt>qǔ</rt></ruby></span>""",_ _ _,
转化器,converter (device),zhuǎnhuà qì,转化器,,,,,,,,
股市,the stock market,gǔshì,股市,,,,,,,,
魔法,magic,mófǎ,魔法,,,,,,,,
被罚,to be punished<div>to be fined</div>,bèi fá,被罚,,,,,,,,
核武器,nuclear weapons,héwǔqì,核武器,,,,,,,,
抗美援朝,the Korean War,kàngměiyuáncháo,抗美援朝,,,,,,,,
航天员,astronaut,hángtiānyuán,航天员,,,,,,,,
医学院,medical school,yīxuéyuàn,医学院,,,,,,,,
戒指,ring (on a finger),"""<span class=""""tone4"""">jiè</span><span class=""""tone5"""">zhi</span> <!-- jie zhi -->""","""<span class=""""tone4"""">戒</span><span class=""""tone5"""">指</span>""",,[sound:戒指_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>戒<rt>jiè</rt></ruby></span><span class=""""tone5""""><ruby>指<rt>zhi</rt></ruby></span>""",_ _,
好奇心,curiosity,hàoqí xīn,好奇心,,,,,,,,
精神病,mental illness,jīngshénbìng,精神病,,,,,,,_ _ _,
悲哀,sorrow,"""<span class=""""tone1"""">bēi</span><span class=""""tone1"""">āi</span> <!-- bei ai -->""","""<span class=""""tone1"""">悲</span><span class=""""tone1"""">哀</span>""",,[sound:悲哀_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>悲<rt>bēi</rt></ruby></span><span class=""""tone1""""><ruby>哀<rt>āi</rt></ruby></span>""",_ _,
虚拟,"fictitious, virtual",xūnǐ,虚拟,,,,,,,,
优越,"superior, superiority",yōuyuè,优越,,,,,,,,
优越感,sense of superiority,"""<span class=""""tone1"""">yōu</span><span class=""""tone4"""">yuè</span> <span class=""""tone3"""">gǎn</span> <!-- you yue gan -->""","""<span class=""""tone1"""">优</span><span class=""""tone4"""">越</span><span class=""""tone3"""">感</span>""",,[sound:优越感_google_zh-CN.mp3],,優越感,,"""<span class=""""tone1""""><ruby>优<rt>yōu</rt></ruby></span><span class=""""tone4""""><ruby>越<rt>yuè</rt></ruby></span><span class=""""tone3""""><ruby>感<rt>gǎn</rt></ruby></span>""",_ _ _,
满足感,sense of satisfaction,mǎnzú gǎn,满足感,,,,,,,,
朗读,to read aloud,lǎngdú,朗读,,,,,,,,
搭配,to match (w/ d)<div>to pair up</div><div>matching (adj.)</div>,dāpèi,搭配,,,,,,,,
格局,layout,géjú,格局,,,,,,,,
冲锋衣,jacket,chōngfēngyi1,冲锋衣,,,,,,,_ _ _,
款式,style (as in pattern/design),kuǎnshì,款式,种,,,,,,,
宽松,"loose (of clothing, policy, etc.)<div>to loose</div>",kuānsōng,宽松,,,,,,,,
棉,cotton,mián,棉,,,,,,,,
脸色,complexion (of face),liǎnsè,脸色,,,,,,,,
得体,appropriate to the occasion (w/ d)<div>fitting</div>,détǐ,得体,,,,,,,,
棉衣,cotton padded clothes,miányī,棉衣,件,,,,,,,
上旬,the first ten days of the month,shàngxún,上旬,,,,,,,,
羽绒,down (feathers),yǔróng,羽绒,,,,,,,,
尺寸,"size, dimensions, measurements",chǐcun,尺寸,,,,,,,,
