Hanzi,Meaning
做对,to do correctly (res comp)
打破,to break (by hitting) (res comp)<br>to smash <br>
-着,"resultative complement meaning ""to acheive its purpose"""
找着,to find (w/ 着) (res comp)<br>
找到,to find (w/ 到) (res comp)<br>
睡着,to fall asleep (res comp)<br>
打开,to open (打_)<br>
做完,to finish (res comp)<br>to complete the task <br>
吃完,to finish eating (res comp)<br>
带上,to bring with oneself (res comp)
写完,to write to completion (res comp)<br>
盘子,tray <br>plate <br>
看完,to finish watching (res comp)
声音,sound <br>
考上,to pass a university entrance exam (res comp)<br><div>to test into (obj)</div>
辛苦,exhausting <br>with much toil <br>
草地,lawn <br>meadow <br>
亮视点,LensCrafters
掉,to fall&nbsp;<div>to fall off<br>to drop<br></div>
鼻垫,nosepad (glasses)
眼镜镜头,glasses lenses
卡,to be stuck (w/ q)
螺丝,screw <br>
螺丝刀,screwdriver <br>
雇,to hire <br><div>to employ</div>
替换,to replace (w/ t)<br><br>
可替换,replaceable
处理,to deal with&nbsp;<div>to handle</div><div>to process (information)</div>
让我来处理,Let me handle this
算术,arithmetic <br>
算术处理数字,Arithmetic deals with numbers
抱怨,to complain <br>
预期,to expect (w/ y)<div>expected<br></div>
失去,"to lose (an object, a game - w/ sh)"
我没明白你的意思,I didn't understand what you mean
你在说谁？,Who are you talking about?
你的意思是。。。,So your meaning is...
付钱,to pay money <br>
吉林省,Jilin
操场,playground <br>sports field <br>
校服,school uniform <br>
手套,glove <br>mitten <br>
手语,sign language <br>
合同,(business) contract <br>
短信,text message <br>SMS <br>
智能手机,smartphone <br>
SIM卡,SIM card
牙医,dentist <br>
牙洞,cavity (tooth)
炎症,inflammation <br>
牙箍,braces
一直,continuously <br>always <br>
爱好者,amateur <br>enthusiast <br>
网络,Internet <br>
大陆,mainland China (reference to the PRC) <br>continent <br>mainland <br>
澳门,Macau <br>
取得,to acquire <br>to get <br>to obtain <br>
教育,to educate <br>education <br>
教育者,educator
联系,connection <br>contact <br>to get in touch with <br>
说明,to explain (w/&nbsp;说)<br>
重要性,importance <br>
杂志,magazine <br>
排名,ranking <br>to be ranked<br>
上升,to rise<br>to ascend <br>
能力,ability (w/&nbsp;能_)<div>able</div>
选举,to elect <br>election <br>
开不了,it won't turn on (w/ k)
墨水,ink <br>
断,to break <br>to snap <br>to cut off <br>
铅笔芯,pencil led
铅笔,pencil <br>
描述,to describe (w/ m)<br>description <br>
发不动,<div>it won't move</div><div>it won't start<br></div>
引擎,engine (loanword) <br>
电瓶,battery (large car type) <br>
没电,dead (of batteries) <br><div>to die</div>
刹车,to brake (when driving)&nbsp;<div>to stop <br></div><div>brakes (of a car)</div>
水壶,kettle <br>
功能,function <br><div>ability</div>
煮水,to boil water
没办法煮水,it's unable to boil water
电器,electrical appliance <br>electric device <br>
电灯,electric light <br>
充电,to charge (batteries)<br>fig. to rest and recuperate <br>
充不满,it won't fully charge
堵住,to block up (res comp)<br>
行不通,"won't work (for an idea, a plan, way of doing something...)<br>"
WIFI连不上,the WiFi won't connect<div>the WiFi doesn't work</div>
连不上,it won't connect
网页,web page <br>
玻璃,glass <br>
开放,to open (to the public) <br>to open up (to the outside) <br>
墙壁,wall <br>
摄像头,webcam <br>surveillance camera <br>
方向,direction <br>
发表,"to publish (paper, thesis, etc.)<br>"
出版,"to publish (book, magazine, newspaper, etc.)<br>"
谈恋爱,to court <br>to date<br>
失望,disappointed <br>
让人失望,disappointing
深度,"depth, profundity (n.)<br>"
有深度,profound (adj.)
乐器,musical instrument <br>
谈乐器,to play a musical instrument
重复,to repeat <br>
修改,<div>to correct (w/ x)</div> to amend <br>to modify <br>
确定,"certain, definite (adj. w/ que)"
书名,title (of book)
人物,"character (in a play, novel etc) <br>"
蚂蚁,ant <br>
绝望,to despair <br>desperate <br>desperation <br>
稳定,stable <br>stability <br>to stabilize <br>
对话练习,conversation practice
少见,uncommon
肾,kidney <br>
重,to repeat<br>repetition<br>re-
到来,to arrive <br>arrival <br>
污染,pollution <br>
寻求,to seek <br>
祷告,to pray <br>prayer <br>
至少,at least <br>(to say the) least <br>
动词,verb <br>
形容词,adjective <br>
名词,noun <br>
连词,conjunction <br>
发音,to pronounce <br>pronunciation <br>
成语,chengyu
讨论,to discuss (w/&nbsp;讨)<div>to talk over <br></div>
表达,to express (not 表示)<br>to convey <br>
福州市,Fuzhou<br>
室外,outdoor <br>
室内,indoor <br>
健身房,gym <br>gymnasium <br>
屋顶,roof <br>
健身器械,exercise machine<div>exercise equipment</div>
使用,to use (w/ sh)<br>
力量,force (amount of)
心跳,heartbeat <br>pulse <br>
心跳速度,heart rate
微信,Weixin<div>WeChat<br></div>
扫,to sweep <br><div>to scan</div>
蓝牙,Bluetooth <br>
音响,audio&nbsp;<div>sound system <br></div>
蓝牙音响,Bluetooth audio
环保,environmental protection (n.)<br>environmentally friendly (adj.)<br>
太阳能,solar energy <br>
发电,to generate electricity <br>
平时,ordinarily...<br>
电力,electrical power <br>electricity <br>
二维码,two-dimensional barcode <br>QR code <br>
保持联系,to keep in touch <br>to stay in contact <br>
未来,future (farther term than 将来)<br>
口罩,"mask (air, surgical etc) <br>"
军人,soldier <br>
跑道,athletic track <br>track <br>runway (i.e. airstrip) <br>
普遍,widespread <br>common <br>
跳绳,to jump rope<div>jump rope</div>
绳子,rope<div>cord&nbsp;&nbsp;<br></div>
细绳,string <br>twine <br>
一生,all one's life&nbsp;<div>throughout one's life <br></div>
木材,wood <br>
枕头,"pillow (small, for head)<br>"
耳机,headphones <br>
印度尼西亚,Indonesia <br>
直升机,helicopter <br>
目的地,destination (location) <br>
在你的帮助下,with your help
想去哪里就去哪里,you can go wherever you want
黑洞,(astronomy) black hole <br>
多多少少,to some extent <br>more or less <br>
巨型,giant (_型)<br>enormous <br>
超出,to exceed <br>to overstep <br>
理论,theory <br>
存在,to exist <br>to be <br>existence <br>
现有,currently existing <br>currently available <br>
理论家,theorist <br>theoretician <br>
不得不,have no choice but to <br>can't help but to<br>
形成,to form <br>to take shape <br><div>formation</div>
澳大利亚,"Australia (country, not conitinent)<br>"
波兰,Poland <br>
荷兰,Holland <br>the Netherlands <br>
相声,Xiangsheng<br>crosstalk <br>
谦虚,modest <br>self-effacing <br>to make modest remarks <br>
博客,blog
现代,Hyundai<br>modern times <br>
乐天,"a happy person (oulook, personality) - w/ _天<div>carefree <br>optimistic <br></div>"
有耐性,"patient (disposition, personality)"
用工,hardworking (personality)
好学,studious <br>
大方,<div>easy-mannered<br></div><div>generous (disposition)</div>
活泼,bubbly<div>lively <br>vivacious <br></div>
邪恶,evil<div>wicked</div>
坏心眼,evil (more everyday than 邪恶)
小气的人,stingy person
没耐性,impatient (personality)
无趣的人,boring person
难相处的人,someone that's difficult to get along with
好相处,easy to get along with
自大的人,egotistical person
大嘴巴,a gossip<div>someone with a big mouth</div>
小心的人,cautious/vigilant person
严肃的人,serious person
勤劳,industrious (w/ q)<br>diligent <br>
严肃,<div>stern</div><div>severe</div> solemn <br>
脚步,footstep <br>
保守,to guard <br>to keep <br>
痛苦,pain <br>suffering <br>painful <br>
软弱,weak (软_)<div>weakness<br>feeble <br></div>
敬拜,to worship <br>
恩典,favor <br>grace <br>
赞美,to praise (w/ _美)<br>
得罪,to offend somebody <br>
被得罪,to be offended
礼貌,<div>polite&nbsp;</div>manners <br>
语气,tone <br>manner of speaking <br>
安装,to install <br>installation <br>
...以来,since (a previous event) <br>
砖头,brick <br>
杀手,killer (not 凶手)<br>assassin
合肥市,Hefei<br>
成年人,adult person <br>
话可不能这么说,You shouldn't put it like that... (soft way to disagree)
为我好,for my own good
开药,to prescribe medicine <br>
吃药,to take medicine <br>
下药,to poison
不见得,not necessarily <br>
避免,to avert <br>to prevent <br>to avoid <br>to refrain from <br>
血压,blood pressure <br>
我的血压很高,My blood pressure is high
高血压,high blood pressure <br>
低血压,low blood pressure <br>
生产力,productivity <br>
直接,direct <br>directly <br>straightforward <br>
有效,effective <br>in effect <br>valid <br>
教练,trainer <br><div>instructor</div>
健身,to exercise (w/ j)<br>to work out <br>
胡子,beard <br>mustache<br>facial hair <br>
毛,fur
鼻毛,nose hair
腋下,underarm <br>armpit <br>
胸毛,chest hair
手毛,arm hair
阴毛,pubic hair <br>
剪头发,(to get a) haircut <br><div>to cut hair</div>
拔眉毛,to pluck your eyebrows
拔,to pluck (as in to pull out)<div>to pick</div>
刮脚毛,to shave your legs
刮,to shave <br>
刮胡子,to shave (beard)<br>
剃,"to shave (with a scraping blade, not a standard razor)<br>"
剃头,to shave one's head
修眉毛,to trim your eyebrows
修,to trim (of hair)
修头发,to trim one's hair
除,to get rid of <br>to remove <br>
除毛,to remove hair
蜜蜡,beeswax <br>
蜡,candle <br>wax <br>
镭射,laser (loanword) <br>
能够,to be capable of <br>to be able to <br>
能够帮助,capable of helping
实用,practical <br>pragmatic <br>applied (science) <br>
专业,specialty (n.)<br>major (at university)<br>
米奇老鼠,Mickey Mouse <br>
松饼,pancake (western style)<br>
形状,shape&nbsp;
外星人,alien <br>extraterrestrial <br>
小说,novel (the book)
科幻,Sci-Fi
"<font color=""#000000""><span class=""tone1"" style="""">科</span><span class=""tone2"" style="""">学</span><span class=""tone4"" style="""">幻</span><span class=""tone3"" style="""">想</span></font>",science fiction <br>
见证人,eyewitness (to an incident) <br>witness (to a legal transaction)
假装,to pretend <br>
符号,symbol (w/ f)<br>sign <br>
加,to add <br>plus <br>
减,to subtract <br>minus
等号,equals sign = <br>
加法,addition <br>
减法,subtraction
乘法,multiplication <br>
除法,division (math.) <br>
常用,in common usage <br><div>often used</div>
一加一等于二,one plus one equals two
十减六等于四,ten minus six equals four
三乘以五等于十五,3 times 5 equals 15
一百五乘以二等于三百,150 times 2 equals 300
四成六,4 by 6 (dimensions)
四成六的照片,a 4 x 6 photograph
九九乘法表,multiplication table <br>
后果,consequences (w/ hou)<br>aftermath <br>
六除以三等于二,6 divided by 3 equals 2
平方米,square meter <br>
英寸,inch (imperial)<br>
圆周率,pi<div>the circular ratio<br></div>
小数点,decimal point <br>
三点一,3.1
详细,detailed <br>in detail <br>
细节,details <br>particulars <br>
工程师,engineer <br>
艺术家,artist <br>
运动员,athlete <br>
鼓励,to encourage <br>
奋斗,to strive <br>to struggle <br>
学期,term <br>semester <br>
政治,politics <br>political <br>
政治学,political science <br>
受不了,unbearable <br>can't stand <br>
已经过了一半,it's already half over
指导,to guide (not 引导)<br>guidance <br>
指导教授,adviser <br>advising professor <br>
碰见,to run into <br>to meet (unexpectedly) <br>to bump into <br>
选好,to make a selection (res comp)
至于。。。,as for...<br>
学位,academic degree<br>
双学位,double major<br>
<div>拿双学位<br></div>,to get a double major
化学,chemistry <br>
经济学,economics (as a field of study) <br>
学分,course credit <br>
念,to study (a degree course) <br>to read aloud <br>
念研究生,to be a graduate student
工学院,school of engineering <br>college of engineering <br>
管理,to manage <br>management <br>administration <br>
管理学院,school of management <br>
文学,literature (the study of...)<br>
将来,in the future&nbsp;&nbsp;(nearer term than 未来)<br>the future<br>
金融,finance<br>
念金融,to study finance (at school)
打交道,to come into contact with <br><div>to deal with</div>
哲学,philosophy <br>
自由,freedom <br>free <br>liberty <br>
申请,to apply for sth <br>application (form etc) <br>
好处,benefit <br>advantage <br>
建议,to suggest (w/ j)<br>to recommend <br>suggestion <br>recommendation <br>
经验,to experience (w/ _验)<br>experience <br>
不必,need not <br>not necessarily <br>
整天,all day long <br>whole day <br>
惊喜,surprise (n./adj. - a nice one)<div>to be pleasantly surprised (v.)&nbsp;<br></div>
看望,to visit (w/ k)<div>a visit<div>to pay a call to <br></div></div>
影响力,(ability to) influence <br>impact <br>
稀奇,rare (to the point of being strange or majical)<br>
圆,circle <br>round <br>circular <br>
毕竟,after all <br>when all is said and done <br>
反映,to reflect (w/ f)<br>reflection <br>
种族主义,racism <br>
种族,race <br>ethnicity <br>
种族主义者,racist (person) <br>
新加坡,Singapore <br>
保守,conservative <br>
饱受,to endure <br>to suffer <br>to be subjected to <br>
批评,to criticize (specifics/small things)<br>criticism <br>
特点,characteristic (feature) <br>trait <br>feature <br>
身份,identity (personal)<br>status <br>
母语,native language <br>mother tongue <br>
华人,ethnic Chinese person or people <br>
根源,roots (origin)
年轻人,young people <br>
反应,to react <br>reaction&nbsp;<br>to respond&nbsp;<br>response
上传,to upload<br>
基本上,basically...<br>
懒,lazy <br>
只好,to have to (只 _)<br>to be forced to <br>
惩罚,punishment <br>to punish <br>
效果,effect (w/ x)<div>result <br></div>
救命！,to save sb's life <br>(interjection) Help! <br>
精力,energy (of people)<br>
性命,life (w/ x)<br>
气候变化,climate change <br>
气候,climate <br>
篮子,basket <br>
野餐篮,picnic basket
好看,good-looking <br>nice-looking <br>
完美,perfect <br>perfection <br>perfectly <br>
设计,design <br>to design <br>
设计师,designer <br>architect <br>
全球,the (whole) world <br>worldwide <br>
桶,bucket <br>(trash) can <br>barrel (of oil etc) <br>
感觉休息好,to feel rested
睡不着,can't fall asleep
合作,to cooperate <br>to collaborate <br>cooperation <br><div>cooperative</div>
每天的中文练习,daily chinese practice
好笑,funny <br>ridiculous <br>
表妹,younger female cousin via female line <br>
表姐,older female cousin via female line <br>
表弟,younger male cousin via female line <br>
表哥,older male cousin via female line <br>
疾病,disease <br>sickness<br>
重大,major <br>significant <br>
拯救,to save (w/ &nbsp;zh)<br>to rescue
课文,"lesson, text (from a textbook)<br>"
比我小一岁,one year younger than me
客户,client (w/ k)<br>customer <br>
互相,each other <br>mutually <br>mutual <br>
语言伙伴,language partner
伙伴,partner <br>companion <br>comrade <br>
运用,to use (w/ yun)<br>to put to use <br>
教会,"Christian church (an individual one, not the whole organization)<br>"
爱心,compassion
有爱心,compassionate
上课,to go to class <br>to go to teach a class <br>
面包,bread <br>
多音字,character with two or more readings <br>
访问学者,visiting scholar
硕士,master's (degree)<br>
硕士学位,master's degree (MSc) <br>
理由,reason <br>justification <br>
圣经,the Bible<br>
领导力,leadership
诗篇,Psalms <br>
主要是,mainly...
主要是由于,mainly due to
性格,personality (w/ x)<div>temperament <br>character <br></div>
讲故事,to tell a story
个性,personality (as in individuality)<br>
总的来说,generally speaking (w/ zong)<br>in short <br>
青少年,teenager<div>adolescent <br></div><div>youth</div>
交换,to exchange<br>to swap <br>
消费,to consume <br>
消费者,consumer <br>
做账,to do the books (finances)
会计,accountant <br>accounting <br>
人际关系,interpersonal relationship <br>
凉快,pleasantly cool <br>
云,cloud <br>
广播,broadcast <br>to broadcast <br>
天气预报,weather forecast <br>
约,to make an appointment <br>
演说,speech (as in in front of an audience)<br>
听众,audience <br>listeners <br>
腐烂,to rot <br>rotten<br>(fig.) corrupt <br>
整理,to arrange <br>to tidy up <br>to sort out <br>
吸烟,to smoke (w/ x)<br>
二手烟,second-hand smoke <br>
肺,lung <br>
莲花,lotus flower<br>water-lily <br>
理发店,barber's shop <br>hairdresser's <br>
害处,damage (w/ h)<br>harm <br>
居住,to reside <br>to dwell <br>
他在日本居住,He resides in Japan
配料,ingredients (in a cooking recipe) <br>to mix materials according to directions <br>
黑暗,darkness (as in evil)<br><div>dark</div>
推迟,to postpone <br>to put off <br>
阅读,to read <br>reading <br>
很有个性,to have a lot of personality
他的个性很强,his personality is very strong
福音,gospel <br>
绕口令,tongue-twister <br>
事实,fact <br>
吹牛,to talk big <br>to brag<br>
即便,even if (w/ 便)<br>even though <br>
观众,spectators <br>audience <br>
鼓掌,to applaud <br>to clap <br>
绕嘴,hard to get one's mouth around (adj.)<br>
制衣厂,clothing factory
裁缝,tailor <br>dressmaker <br>
缝衣服,to sew clothing
缝,to sew <br>to stitch <br>
分别,separately or individually <br>
料子,material (for clothes)<br>
缝纫机,sewing machine <br>
乱七八糟,everything in disorder (idiom); in a hideous mess <br>
变化,variation&nbsp;<br>to vary <br>
背景,background <br>context <br>
机率,probability <br>odds <br>
病毒,virus <br>
流感,flu <br>influenza <br>
传染,to infect (w/ ch)<br>
减少,to lessen <br>to decrease <br>to reduce <br>to lower <br>
信心,confidence (not self-conf)<br>faith (in sb or sth) <br>
准确,accurate <br>exact &nbsp;<br>
单词,word (w/&nbsp;单)<br>
记录,to record <br>record (written account) <br>
判断,to judge<div>judgement</div>
愉快,cheerful <br>delightful <br>pleasant <br>
最近三年,the last three years
准备好了,I'm ready!
精疲力尽,spent <br>drained <br><div>spirit weary<br></div>
疫情,epidemic situation <br>
辞职,to resign <br>
播客,podcast&nbsp;<br>
可能性,"possibility (as in option, opportunity)<br>"
情人节,Valentine's Day <br>
思考,to ponder over (w/ si)<br><div>to reflect on&nbsp;<br></div>
负责任,to take responsibility <br>to be responsible <br>
负责任的人,a responsible person
研究方向,research direction
内疚,<div>guilt</div><div>guilty</div>
木工,woodwork <br>carpentry <br>woodworker <br>carpenter <br>
我要想得更多,I want to think more
提前一天,a day in advance
提前,in advance <br>
垃圾桶,trash can <br>garbage can <br>
预算,budget <br>
隐形眼镜,contact lens <br>
眼镜盒,glasses case
机器人,robot <br>
梦想,(figuratively) to dream of <br>(figurative) dream <br>
第一季,the first season
第一集,the first episode
笑声,laughter (n.)<br>
充满,to fill<div>full of</div>
显得,to seem (not 好像)<br>to look <br>to appear <br>
将近,almost (w/&nbsp;将)<div>approaching<br>nearly <br>close to <br></div>
角色,"role (in a play, book, etc.)"
发脾气,to lose one's temper<br>
温柔,gentle and soft (personality)<br>tender <br>
脾气,character (w/ p)<div>temperament <br>disposition <br></div>
开朗,optimistic (w/&nbsp;开)<br>cheerful <br>easy-going <br>
第三大的城市,the third largest city
持续,<div>to last</div> to continue <br>to persist <br>
情况持续了三年,the situation lasted for 3 years
幽默,(loanword) humor <br>humorous <br>
感动,to move (sb) <br>to touch (sb emotionally) <br>moving <br>
羡慕,to envy <br>to admire <br>
保证,guarantee <br>to guarantee <br>to ensure <br>
农业,agriculture <br>farming <br>
行业,"industry, commercial undertaking (services)<br>"
方面,respect<br>aspect (not 之处)<br><br>
森林,forest (not woods w/ 树林)
森林大火,forrest fire
重建,to rebuild <br>reconstruction <br>rebuilding <br>
灾区,disaster area <br>
喜剧,comedy <br>
天赋,<div>talent<br></div><div>gift&nbsp;</div>
很有天赋的人,a gifted person
排练,to rehearse <br>rehearsal <br>
绝对,absolute <br>unconditional <br>
投入,to throw oneself into <br>absorbed <br>engrossed <br>
过程,course of events <br>process <br>
往前走,<div>walk forward</div>
偶尔,occasionally <br>once in a while <br>sometimes <br>
放弃,to renounce <br>to abandon <br>to give up <br>
话剧,stage play <br>modern drama <br>
坚果,nut <br>
一袋坚果,a bag of nuts
稍微,a little bit (w/ sh)<br>
合理,rational <br>reasonable <br>fair <br>
物质,matter (物_)<br>substance <br>material <br>
进行,to conduct (w/ 进)<br>to carry out <br><div>to execute</div>
安排,to arrange <br>to plan <br>arrangements <br>plans <br>
专门,specialized (adj.)<br>
部门,department (not academic)<br>branch
购物,shopping <br>
购物中心,shopping center <br><div>mall</div>
入口,entrance (w/ r)<br>
柜台,sales counter <br>front desk <br>
收银处,cashier
距离,distance <br>
手术,(surgical) operation <br>surgery
接受,to receive (w/ jie)<br><div>to accept</div>
账户,account <br>online account <br>
输入,to enter<br>to input <br>
输入我的信息,to enter my information
意识到,"to realize (as in, come to the realization)"
合法的名字,legal name
注册,to register <br>to enroll <br>
空间,"space (as in the concept, not outer space)<br>"
费用,expense (of everyday things)<br><div>cost</div>
工业,industry (for manufacture or production)<br><div>industrial</div>
汽车公司,car company
养老院,nursing home <br>
接待,to receive (a visitor) <br>reception<br>
收入,income <br>revenue <br>
治疗,to treat (an illness) <br>medical treatment <br>
治疗方法,treatment method
疗法,treatment method
证明,proof&nbsp;<div>to prove<br></div>
怀疑,to doubt <br>to suspect <br>doubt <br>suspicion <br>skeptical <br>
祝你好运!,Good luck!
诺贝尔奖,Nobel Prize <br>
可信,trustworthy <br>
不可信,untrustworthy
同时,at the same time&nbsp; (w/ t)<br>simultaneously <br>
自大,arrogant (w/ z - NOT proud)<br>
我不知道你可以多大程度相信他,I don't know how much you can trust him
中药,(traditional) Chinese medicine <br>
中医,traditional Chinese medical science <br>a doctor trained in Chinese medicine <br>
晕,"dizzy <br>dazzled, confused"
气味,odor (w/ q)<br>scent
月经,menstruation <br>a woman's period <br>
抑郁,depressed&nbsp;<div>depression<br></div>
沮丧,dispirited <br>dejected <br>dismayed <br>
神,God <br>deity <br>soul <br>spirit<br>
深,deep <br>profound <br>
王座,throne <br>
思想,thought <br>thinking&nbsp;<br><div>ideology</div>
满足,to satisfy <br>satisfied <br>satisfaction
唯一,only <br>sole <br>
喜乐,joy (n.)<br>
祝福,blessings (religious)<br>to wish sb well <br><div>well wishes</div>
教皇,the Pope<br>
教皇祝福人群,The Pope blessed the crowd.
耶稣,Jesus <br>
忧患,suffering <br>misery <br>hardship <br>
担当,to take upon oneself <br>to assume <br>
背负,to carry on one's back <br><div>to bear&nbsp;<br></div>
赐给,to bestow <br>
求告,to implore (religious)<br>to beseech <br>
涌流,to flow rapidly<div>to pour forth</div><div>to gush&nbsp;<br></div>
怜悯,pity <br>mercy<br><div>to take pity on&nbsp;&nbsp; <br></div>
宴席,banquet <br>feast <br>
环绕,to surround (w/ h)<br>to circle <br>to revolve around <br>
永远,forever (_远)<br>eternal <br>
圣约,(holy) covenant <br>
时刻,constantly (w/ sh)<br>always <br><div>a moment (in time)</div>
纪念,to commemorate&nbsp;<div>to honor<br>to remember <br></div>
散步,to take a walk (not guangjie)<br>to go for a walk <br>
内容,content <br>substance <br>
覆盖面,"coverage (of news, health coverage, etc...)<br>"
有趣,interesting <br>
美籍华人,Chinese-American
老大,eldest child in a family&nbsp;<div>boss <br>leader of a criminal gang <br></div>
传播,to transmit<br>to spread <br>
传播疾病,to transmit the disease
路的另一边,the other side of the road
路的同一边,the same side of the road
出汗,to sweat <br>
汗水,sweat <br>perspiration <br>
他很汗,He is very sweaty
掉线,to get disconnected (from the Internet) <br>
瑜伽,yoga (loanword) <br>
疯狂,crazy (adj.)<br>
她为你疯狂,She is crazy about you.
90年代末,the late 90's
90年代初,the early 90's
90年代中期,mid-90's
任务,task <br>duty <br>mission
神奇,magical <br>mystical <br>miraculous <br>
聊天室,chat room (internet)<br>
论坛,forum (for discussion) <br>
短缺,shortage <br>
葡萄酒,wine <br>
干杯！,Cheers!
红葡萄酒,red wine
白葡萄酒,white wine
可乐,cola <br>
可口可乐,Coca-Cola <br>
雪碧,Sprite (soft drink) <br>
豆浆,soy milk <br>
红茶,black tea <br>
绿茶,green tea <br>
乌龙茶,Oolong tea <br>
奶茶,milk tea <br>
茉莉花,jasmine<br>
菊花,chrysanthemum<br>
鸡肉,chicken meat <br>
牛肉,beef <br>
猪肉,pork <br>
虾,shrimp
豆芽,bean sprout <br>
白菜,Chinese cabbage <br>
青葱,scallion <br>green onion <br>
炒饭,fried rice <br>
过敏,allergy <br>
触摸,to touch (and feel)<br>
锁,to lock <br>lock<br>
馄饨,wonton&nbsp;<br>
包子,steamed stuffed bun <br>
馒头,plain steamed bun <br>
炒面,stir-fried noodles <br>
汤面,noodle soup
油条,youtiao (deep-fried breadstick) <br>slick and sly person <br>
茶叶蛋,tea egg (egg boiled with flavorings which may include black tea) <br>
麻辣,numbing hot<br>
苦,bitter <br>
臭,stink <br>smelly <br>to smell (bad) <br>
酱油,soy sauce <br>
姜,ginger <br>
辣椒,hot pepper <br>chili <br>
芝麻,sesame (seed) <br>
花椒,Sichuan pepper <br>
点菜,to order dishes (in a restaurant) <br>
有什么好吃的？,What's good to eat?
我吃素,I'm a vegetarian
咖啡壶,coffee pot <br>coffee maker <br>
茶杯,teacup <br>
勺子,spoon&nbsp;<br>ladle <br>
牙签,toothpick <br>
叉子,fork <br>
刀,knife <br>blade <br>
玻璃杯,drinking glass <br><div>glass</div>
碟子,dish<div>saucer <br></div>
茶壶,teapot <br>
餐具,eating utensil<div>tableware <br></div>
牛排刀,steak knife
切肉刀,carving knife<div>meat cleaver <br></div>
咖啡杯,coffee mug<div>mug</div>
大水罐,pitcher
酒杯,wine glass<br>
全部,whole <br>entire <br>complete <br>
全部的人口,the entire population
来得及,to have enough time<br>
来不及,to not have enough time
长江,Yangtze River<br>
桥,bridge <br>
穿越,to pass through <br>to cross <br>
穿越江的一座桥,a bridge that crosses the river
叶子,leaf <br><div>foliage</div>
婚姻,matrimony <br>wedding <br>marriage <br>
离婚,to divorce <br>
法院,court of law <br>court <br>
温度计,thermometer <br>
卖家,sellers
买家,buyers<br>
抓到,to catch (as in to grab)
承认,to admit <br>to concede <br>to acknowledge <br>
缅甸,Myanmar (or Burma) <br>
药店,pharmacy <br>
过期的口罩,expired masks
过期,to be overdue <br>to expire (as in expiration date) <br>
象棋,Chinese chess <br>
下象棋,to play Chinese chess
什么是？,What's up?
充电器,charger (of electricity)<br>
安卓电话,android phone
苹果电话,Apple phone
抱歉,to be sorry (more formal)<br>excuse me
网吧,Internet café <br>
很少,rarely (很_)<div>seldom</div>
很快,soon (w/ kuai)
不久,soon (w/ jiu)<br><div>not long after</div>
赞同,to approve of&nbsp; (w/ z)<br>to endorse <br>
购买,to purchase <br>to buy <br>
发给,to issue <br>to grant <br>to distribute <br>
塑料,plastic<br>
塑料袋,plastic bag <br>
东南亚,Southeast Asia <br>
僧人,monk <br>
病例,(medical) case <br>
达到,to reach <br>to achieve <br>to attain <br>
首都,capital (city) <br>
长袍,chang pao (traditional Chinese men's robe) <br>gown <br>robe <br>
危机,crisis <br>
控制,control&nbsp;<div>to control<br>to contain <br></div>
地震,earthquake <br>
车祸,traffic accident <br>car crash <br>
轮椅,wheelchair <br>
女王,queen <br>
自豪,proud (w/ z - NOT arrogant) <br>
感到自豪,to feel proud
战胜,to prevail over <br>
人民,the people <br>
时期,period <br>phase <br>
团结,to unite (w/ t)<div>unity</div><div>united</div>
度过,to pass &nbsp;<br>to survive <br>to get through <br>
难关,difficulty (w/ n)<br>
隔离,to separate <br>to isolate <br><div>to quarentine</div>
弱势,vulnerable (w/ 弱_)<br>weak <br>
安慰,to comfort <br>to console <br>
企业家,entrepreneur <br>
2月初,early February
2月底,late February
庆祝,to celebrate <br>
患者,(medical) patient <br>sufferer <br>
居民,resident <br>inhabitant <br>
意大利,Italy <br>
2月中旬,mid-February
实行,to implement (w/ _行)<br>to put into practice <br>
东京,"Tokyo, capital of Japan <br>"
宣布,to declare (not 宣告)<br>to announce <br>
强烈,intense (w/ q)<br>
抗议,to protest <br>protest <br>
媒体,"media, esp. news media <br>"
社交媒体,social media
并且,and (w/ b)<br>besides <br>moreover <br>
破坏,<div>to destroy</div><div>to wreck<br></div><div>destruction</div>
掉下,to drop down (w/ d)<br>to fall <br>
事故,accident (w/ sh)<br>
大大减少,to decrease greatly
大大,greatly <br>enormously <br>
从2月起...,starting from February...
减肥,to lose weight <br>
技巧,a tip (w/ j)
饮食,food and drink <br>diet <br>
适应,to adapt&nbsp; (not 习惯)<br>
区别,difference (w/ qu)<br>to distinguish <br>to make a distinction <br>
根本,fundamental (w/ g)<br>basic <br>simply <br>absolutely (not) <br>(not) at all <br>
奖励,to reward <br>reward<br>
个人,individual (adj./n.)<br>personal <br>oneself <br>
关键,crucial<br>pivotal<br><div>the key</div>
起初,<div>from the start</div>
体重,body weight <br>
目标,goal (w/ biao)<br>objective <br>
本身,itself<br>in itself <br>per se <br>
我本身,I myself...
他本身,he himself...
革命,revolution <br>revolutionary (politics) <br>
目前,at the present time <br>currently <br>
图片,image <br>picture <br>
列国,various countries<div>the nations&nbsp;&nbsp;<br></div>
铺平,"to pave (the way, a road etc) <br>"
道路,road <br>path <br>way <br>
走右边的道路,take the road on the right
挪移,to shift (as in to move slowly)
摇动,to shake <br>to sway <br>
瓶子,bottle <br>
主,the Lord (of Hosts)<br>
无助,helpless <br>helplessness <br>
引导,to guide (w/ yin)<br>to lead (around) <br>to conduct <br>
