,Unnamed: 0,Hanzi,Meaning,Reading,Color,Mean Word,Sound,Traditional,Silhouette,Traditional_Colored
187,187,废话,nonsense (speach)<br>rubbish,<span class = 'tone4'>fèihuà</span>,<span class = 'tone4'>废话</span>,,,廢話,_ _,<span class = 'tone4'>廢話</span>
188,188,发票,invoice<br>receipt,<span class = 'tone1'>fā</span><span class = 'tone4'>piào</span>,<span class = 'tone1'>发</span><span class = 'tone4'>票</span>,,,發票,_ _,<span class = 'tone1'>發</span><span class = 'tone4'>票</span>
189,189,文件柜,filing cabinet,<span class = 'tone2'>wén</span><span class = 'tone4'>jiàn guì</span>,<span class = 'tone2'>文</span><span class = 'tone4'>件</span><span class = 'tone5'>柜</span>,,,文件櫃,_ _ _,<span class = 'tone2'>文</span><span class = 'tone4'>件</span><span class = 'tone5'>櫃</span>
190,190,房东,landlord (w/ f),<span class = 'tone2'>fáng</span><span class = 'tone1'>dōng</span>,<span class = 'tone2'>房</span><span class = 'tone1'>东</span>,,,房東,_ _,<span class = 'tone2'>房</span><span class = 'tone1'>東</span>
191,191,低廉,cheap (w/ d),<span class = 'tone1'>dī</span><span class = 'tone2'>lián</span>,<span class = 'tone1'>低</span><span class = 'tone2'>廉</span>,,,低廉,_ _,<span class = 'tone1'>低</span><span class = 'tone2'>廉</span>
192,192,可行的,feasible,<span class = 'tone3'>kě</span><span class = 'tone2'>xíng </span><span class = 'tone5'>de</span>,<span class = 'tone3'>可</span><span class = 'tone2'>行</span><span class = 'tone5'>的</span>,,,可行的,_ _ _,<span class = 'tone3'>可</span><span class = 'tone2'>行</span><span class = 'tone5'>的</span>
193,193,投资者,investor,"<span class = 'tone5'>""</span><span class = 'tone2'>tóu</span><span class = 'tone1'>zī </span><span class = 'tone3'>zhě </span><span class = 'tone5'>""</span>",<span class = 'tone5'>投</span><span class = 'tone2'>资</span><span class = 'tone1'>者</span>,,[sound:投资者_google_zh-CN.mp3],投資者,_ _ _,<span class = 'tone5'>投</span><span class = 'tone2'>資</span><span class = 'tone1'>者</span>
194,194,随机,random<br>randomly,<span class = 'tone2'>suí</span><span class = 'tone1'>jī</span>,<span class = 'tone2'>随</span><span class = 'tone1'>机</span>,,,隨機,_ _,<span class = 'tone2'>隨</span><span class = 'tone1'>機</span>
195,195,击倒,"to knock down/out (person, opponent...)<br>kockout (adj.)",<span class = 'tone1'>jī</span><span class = 'tone3'>dǎo</span>,<span class = 'tone1'>击</span><span class = 'tone3'>倒</span>,,,擊倒,_ _,<span class = 'tone1'>擊</span><span class = 'tone3'>倒</span>
196,196,风俗,customs (w/ f),<span class = 'tone1'>fēng</span><span class = 'tone2'>sú</span>,<span class = 'tone1'>风</span><span class = 'tone2'>俗</span>,,,風俗,_ _,<span class = 'tone1'>風</span><span class = 'tone2'>俗</span>
197,197,分摊,"to share (costs, responsibilities...)<br>to apportion",<span class = 'tone1'>fēntān</span>,<span class = 'tone1'>分摊</span>,,,分攤,_ _,<span class = 'tone1'>分攤</span>
198,198,撒,to sprinkle<br>to scatter<br>to salt,<span class = 'tone3'>sǎ</span>,<span class = 'tone3'>撒</span>,,,撒,_,<span class = 'tone3'>撒</span>
199,199,创建,"to found, to establish (not 创办 - something smaller)",<span class = 'tone4'>chuàngjiàn</span>,<span class = 'tone4'>创建</span>,,,創建,_ _,<span class = 'tone4'>創建</span>
200,200,主语,subject (in grammar),<span class = 'tone3'>zhǔyǔ</span>,<span class = 'tone3'>主语</span>,,,主語,_ _,<span class = 'tone3'>主語</span>
201,201,创办,"to establish, to found (an organization, business, country, etc...)",<span class = 'tone4'>chuàngbàn</span>,<span class = 'tone4'>创办</span>,,,創辦,_ _,<span class = 'tone4'>創辦</span>
202,202,学说,theory (w/ x),<span class = 'tone2'>xué</span><span class = 'tone1'>shuō</span>,<span class = 'tone2'>学</span><span class = 'tone1'>说</span>,,,學說,_ _,<span class = 'tone2'>學</span><span class = 'tone1'>說</span>
203,203,摔倒,"to stumble, to trip/slip and fall (w/ sh)",<span class = 'tone1'>shuāi</span><span class = 'tone3'>dǎo</span>,<span class = 'tone1'>摔</span><span class = 'tone3'>倒</span>,,,摔倒,_ _,<span class = 'tone1'>摔</span><span class = 'tone3'>倒</span>
204,204,我被石头绊倒了,I tripped over a stone.,<span class = 'tone3'>wǒ </span><span class = 'tone4'>bèi </span><span class = 'tone2'>shí</span><span class = 'tone5'>tou </span><span class = 'tone4'>bàn dào</span><span class = 'tone5'>le</span>,<span class = 'tone3'>我</span><span class = 'tone5'>被</span><span class = 'tone4'>石</span><span class = 'tone5'>头</span><span class = 'tone2'>绊</span><span class = 'tone5'>倒了</span>,,,我被石頭絆倒了,_ _ _ _ _ _ _,<span class = 'tone3'>我</span><span class = 'tone5'>被</span><span class = 'tone4'>石</span><span class = 'tone5'>頭</span><span class = 'tone2'>絆</span><span class = 'tone5'>倒了</span>
205,205,树根,tree roots,<span class = 'tone4'>shù</span><span class = 'tone1'>gēn</span>,<span class = 'tone4'>树</span><span class = 'tone1'>根</span>,,,樹根,_ _,<span class = 'tone4'>樹</span><span class = 'tone1'>根</span>
206,206,功夫,Kung Fu,<span class = 'tone1'>gōng</span><span class = 'tone5'>fu</span>,<span class = 'tone1'>功</span><span class = 'tone5'>夫</span>,,,功夫,_ _,<span class = 'tone1'>功</span><span class = 'tone5'>夫</span>
207,207,工人,worker (w/ g),<span class = 'tone1'>gōng</span><span class = 'tone2'>rén</span>,<span class = 'tone1'>工</span><span class = 'tone2'>人</span>,,,工人,_ _,<span class = 'tone1'>工</span><span class = 'tone2'>人</span>
208,208,聘用,"to hire (someone, w/ p)<br>to employ",<span class = 'tone4'>pìnyòng</span>,<span class = 'tone4'>聘用</span>,,,聘用,_ _,<span class = 'tone4'>聘用</span>
209,209,此地,"this place, here",<span class = 'tone3'>cǐ</span><span class = 'tone4'>dì</span>,<span class = 'tone3'>此</span><span class = 'tone4'>地</span>,,,此地,_ _,<span class = 'tone3'>此</span><span class = 'tone4'>地</span>
210,210,公寓,apartment,<span class = 'tone1'>gōng</span><span class = 'tone4'>yù</span>,<span class = 'tone1'>公</span><span class = 'tone4'>寓</span>,,,公寓,_ _,<span class = 'tone1'>公</span><span class = 'tone4'>寓</span>
211,211,诞生,to be born (of important things or individuals),<span class = 'tone4'>dàn</span><span class = 'tone1'>shēng</span>,<span class = 'tone4'>诞</span><span class = 'tone1'>生</span>,,,誕生,_ _,<span class = 'tone4'>誕</span><span class = 'tone1'>生</span>
212,212,公元1500年,1500 AD,<span class = 'tone1'>gōng</span><span class = 'tone2'>yuán </span><span class = 'tone5'>1500 </span><span class = 'tone2'>nián</span>,<span class = 'tone1'>公</span><span class = 'tone2'>元</span><span class = 'tone5'>1500年</span>,,,公元1500年,_ _ 1500_,<span class = 'tone1'>公</span><span class = 'tone2'>元</span><span class = 'tone5'>1500年</span>
213,213,公元前44年,44 BC,<span class = 'tone1'>gōng</span><span class = 'tone2'>yuán qián </span><span class = 'tone5'>44 </span><span class = 'tone2'>nián</span>,<span class = 'tone1'>公</span><span class = 'tone2'>元</span><span class = 'tone5'>前</span><span class = 'tone2'>44</span><span class = 'tone5'>年</span>,,,公元前44年,_ _ _ 44_,<span class = 'tone1'>公</span><span class = 'tone2'>元</span><span class = 'tone5'>前</span><span class = 'tone2'>44</span><span class = 'tone5'>年</span>
214,214,从。。。起算,counted from...,<span class = 'tone2'>cóng</span><span class = 'tone5'>... </span><span class = 'tone3'>qǐ</span><span class = 'tone4'>suàn</span>,<span class = 'tone2'>从</span><span class = 'tone5'>。。。起</span><span class = 'tone3'>算</span>,,,從。。。起算,_ 。。。_ _,<span class = 'tone2'>從</span><span class = 'tone5'>。。。起</span><span class = 'tone3'>算</span>
215,215,梦见,to dream about (something or somebody)<br>to see in a dream,<span class = 'tone4'>mèngjiàn</span>,<span class = 'tone4'>梦见</span>,,,夢見,_ _,<span class = 'tone4'>夢見</span>
216,216,喉咙,throat (formal),<span class = 'tone2'>hóulóng</span>,<span class = 'tone2'>喉咙</span>,,,喉嚨,_ _,<span class = 'tone2'>喉嚨</span>
217,217,固体,solid (n.),<span class = 'tone4'>gù</span><span class = 'tone3'>tǐ</span>,<span class = 'tone4'>固</span><span class = 'tone3'>体</span>,,,固體,_ _,<span class = 'tone4'>固</span><span class = 'tone3'>體</span>
218,218,时间观念,a sense of time,<span class = 'tone2'>shí</span><span class = 'tone1'>jiān guān</span><span class = 'tone4'>niàn</span>,<span class = 'tone2'>时</span><span class = 'tone1'>间</span><span class = 'tone5'>观</span><span class = 'tone1'>念</span>,,,時間觀念,_ _ _ _,<span class = 'tone2'>時</span><span class = 'tone1'>間</span><span class = 'tone5'>觀</span><span class = 'tone1'>念</span>
219,219,罐头,can<br>caned,<span class = 'tone4'>guàn</span><span class = 'tone5'>tou</span>,<span class = 'tone4'>罐</span><span class = 'tone5'>头</span>,,,罐頭,_ _,<span class = 'tone4'>罐</span><span class = 'tone5'>頭</span>
220,220,光盘,CD or DVD,<span class = 'tone1'>guāng</span><span class = 'tone2'>pán</span>,<span class = 'tone1'>光</span><span class = 'tone2'>盘</span>,,,光盤,_ _,<span class = 'tone1'>光</span><span class = 'tone2'>盤</span>
221,221,拷贝,to copy (things on a computer)<br>copy,<span class = 'tone3'>kǎo</span><span class = 'tone4'>bèi</span>,<span class = 'tone3'>拷</span><span class = 'tone4'>贝</span>,,,拷貝,_ _,<span class = 'tone3'>拷</span><span class = 'tone4'>貝</span>
222,222,光临,"""to attend<br>to honor with one's presence<br>""",<span class = 'tone1'>guāng</span><span class = 'tone2'>lín</span>,<span class = 'tone1'>光</span><span class = 'tone2'>临</span>,,,光臨,_ _,<span class = 'tone1'>光</span><span class = 'tone2'>臨</span>
223,223,光明,"brightness, radiance (fig.)<br>the Light",<span class = 'tone1'>guāng</span><span class = 'tone2'>míng</span>,<span class = 'tone1'>光</span><span class = 'tone2'>明</span>,,,光明,_ _,<span class = 'tone1'>光</span><span class = 'tone2'>明</span>
224,224,气象,meteorology<br>meteorological feature,<span class = 'tone4'>qìxiàng</span>,<span class = 'tone4'>气象</span>,,,氣象,_ _,<span class = 'tone4'>氣象</span>
225,225,维吾尔,Uighur ethnic group,"<span class = 'tone5'>""</span><span class = 'tone2'>wéi wú </span><span class = 'tone3'>ě</span><span class = 'tone5'>r ""</span>",<span class = 'tone5'>维</span><span class = 'tone2'>吾</span><span class = 'tone5'>尔</span>,,[sound:维吾尔_google_zh-CN.mp3],維吾爾,_ _ _,<span class = 'tone5'>維</span><span class = 'tone2'>吾</span><span class = 'tone5'>爾</span>
226,226,自治区,Autonomous Region (official administrative designation),<span class = 'tone4'>zìzhì </span><span class = 'tone1'>qū</span>,<span class = 'tone4'>自治</span><span class = 'tone5'>区</span>,,,自治區,_ _ _,<span class = 'tone4'>自治</span><span class = 'tone5'>區</span>
227,227,渤海,the Bohai Sea,<span class = 'tone5'>B</span><span class = 'tone2'>ó </span><span class = 'tone3'>hǎi</span>,<span class = 'tone5'>渤</span><span class = 'tone2'>海</span>,,,渤海,_ _,<span class = 'tone5'>渤</span><span class = 'tone2'>海</span>
228,228,黄海,the Yellow Sea,<span class = 'tone5'>Hu</span><span class = 'tone2'>áng </span><span class = 'tone3'>hǎi</span>,<span class = 'tone5'>黄</span><span class = 'tone2'>海</span>,,,黃海,_ _,<span class = 'tone5'>黃</span><span class = 'tone2'>海</span>
229,229,黑龙江省,Heilongjiang Province,<span class = 'tone5'>H</span><span class = 'tone1'>ēi</span><span class = 'tone2'>lóng</span><span class = 'tone1'>jiāng </span><span class = 'tone5'>S</span><span class = 'tone3'>hěng</span>,<span class = 'tone5'>黑</span><span class = 'tone1'>龙</span><span class = 'tone2'>江</span><span class = 'tone1'>省</span>,,,黑龍江省,_ _ _ _,<span class = 'tone5'>黑</span><span class = 'tone1'>龍</span><span class = 'tone2'>江</span><span class = 'tone1'>省</span>
230,230,西伯利亚,Siberia,<span class = 'tone5'>Xī</span><span class = 'tone2'>bó</span><span class = 'tone4'>lìyà</span>,<span class = 'tone5'>西</span><span class = 'tone2'>伯</span><span class = 'tone4'>利亚</span>,,,西伯利亞,_ _ _ _,<span class = 'tone5'>西</span><span class = 'tone2'>伯</span><span class = 'tone4'>利亞</span>
231,231,东海,the East China Sea,<span class = 'tone5'>D</span><span class = 'tone1'>ōng </span><span class = 'tone3'>hǎi</span>,<span class = 'tone5'>东</span><span class = 'tone1'>海</span>,,,東海,_ _,<span class = 'tone5'>東</span><span class = 'tone1'>海</span>
232,232,南海,the South China Sea,<span class = 'tone5'>N</span><span class = 'tone2'>án </span><span class = 'tone3'>hǎi</span>,<span class = 'tone5'>南</span><span class = 'tone2'>海</span>,,,南海,_ _,<span class = 'tone5'>南</span><span class = 'tone2'>海</span>
233,233,高原,plateau,<span class = 'tone1'>gāo</span><span class = 'tone2'>yuán</span>,<span class = 'tone1'>高</span><span class = 'tone2'>原</span>,,,高原,_ _,<span class = 'tone1'>高</span><span class = 'tone2'>原</span>
234,234,极端,extreme (adj.)<br>extremes (n.),<span class = 'tone2'>jí</span><span class = 'tone1'>duān</span>,<span class = 'tone2'>极</span><span class = 'tone1'>端</span>,,,極端,_ _,<span class = 'tone2'>極</span><span class = 'tone1'>端</span>
235,235,纪录,"to record<br>a record (in sports, etc.)",<span class = 'tone4'>jìlù</span>,<span class = 'tone4'>纪录</span>,,,紀錄,_ _,<span class = 'tone4'>紀錄</span>
236,236,迅速,rapid (w/ x),<span class = 'tone4'>xùnsù</span>,<span class = 'tone4'>迅速</span>,,,迅速,_ _,<span class = 'tone4'>迅速</span>
237,237,面临,to face (not 面对)<br>to be confronted with,<span class = 'tone4'>miàn</span><span class = 'tone2'>lín</span>,<span class = 'tone4'>面</span><span class = 'tone2'>临</span>,,,面臨,_ _,<span class = 'tone4'>面</span><span class = 'tone2'>臨</span>
238,238,储存,to stockpile<br>a stockpile,<span class = 'tone3'>chǔ</span><span class = 'tone2'>cún</span>,<span class = 'tone3'>储</span><span class = 'tone2'>存</span>,,,儲存,_ _,<span class = 'tone3'>儲</span><span class = 'tone2'>存</span>
239,239,波,a wave of... (measure word),<span class = 'tone1'>bō</span>,<span class = 'tone1'>波</span>,,,波,_,<span class = 'tone1'>波</span>
240,240,冻雨,sleet,<span class = 'tone4'>dòng</span><span class = 'tone3'>yǔ</span>,<span class = 'tone4'>冻</span><span class = 'tone3'>雨</span>,,,凍雨,_ _,<span class = 'tone4'>凍</span><span class = 'tone3'>雨</span>
241,241,寒潮,a cold wave,<span class = 'tone2'>háncháo</span>,<span class = 'tone2'>寒潮</span>,,,寒潮,_ _,<span class = 'tone2'>寒潮</span>
242,242,热浪,heat wave,<span class = 'tone4'>rèlàng</span>,<span class = 'tone4'>热浪</span>,,,熱浪,_ _,<span class = 'tone4'>熱浪</span>
243,243,警报,"""alarm<br>alert<br>""",<span class = 'tone3'>jǐng </span><span class = 'tone4'>bào</span>,<span class = 'tone3'>警</span><span class = 'tone5'>报</span>,,,警報,_ _,<span class = 'tone3'>警</span><span class = 'tone5'>報</span>
244,244,横行,to go on a rampage<br>to run amok<br>ravaged,<span class = 'tone2'>héngxíng</span>,<span class = 'tone2'>横行</span>,,,橫行,_ _,<span class = 'tone2'>橫行</span>
245,245,在此期间。。。,During this time...,<span class = 'tone5'>Z</span><span class = 'tone4'>ài </span><span class = 'tone3'>cǐ </span><span class = 'tone2'>qí</span><span class = 'tone1'>jiān</span><span class = 'tone5'>...</span>,<span class = 'tone5'>在</span><span class = 'tone4'>此</span><span class = 'tone5'>期</span><span class = 'tone3'>间</span><span class = 'tone5'>。。。</span>,,,在此期間。。。,_ _ _ _ 。。。,<span class = 'tone5'>在</span><span class = 'tone4'>此</span><span class = 'tone5'>期</span><span class = 'tone3'>間</span><span class = 'tone5'>。。。</span>
246,246,首席,chief (adj./n.),<span class = 'tone3'>shǒu</span><span class = 'tone2'>xí</span>,<span class = 'tone3'>首</span><span class = 'tone2'>席</span>,,,首席,_ _,<span class = 'tone3'>首</span><span class = 'tone2'>席</span>
247,247,降雪,snowfall (n.)<br>to snow (formal),<span class = 'tone4'>jiàng</span><span class = 'tone3'>xuě</span>,<span class = 'tone4'>降</span><span class = 'tone3'>雪</span>,,,降雪,_ _,<span class = 'tone4'>降</span><span class = 'tone3'>雪</span>
248,248,孔子学院,Confucius Institute,<span class = 'tone3'>kǒngzǐ </span><span class = 'tone2'>xué</span><span class = 'tone4'>yuàn</span>,<span class = 'tone3'>孔子</span><span class = 'tone5'>学</span><span class = 'tone2'>院</span>,,,孔子學院,_ _ _ _,<span class = 'tone3'>孔子</span><span class = 'tone5'>學</span><span class = 'tone2'>院</span>
249,249,天堂,heaven,<span class = 'tone1'>tiān</span><span class = 'tone2'>táng</span>,<span class = 'tone1'>天</span><span class = 'tone2'>堂</span>,,,天堂,_ _,<span class = 'tone1'>天</span><span class = 'tone2'>堂</span>
250,250,徒步,to hike (w/ t)<br>hiking,<span class = 'tone2'>tú</span><span class = 'tone4'>bù</span>,<span class = 'tone2'>徒</span><span class = 'tone4'>步</span>,,,徒步,_ _,<span class = 'tone2'>徒</span><span class = 'tone4'>步</span>
251,251,熬夜一整晚,to stay up all night,<span class = 'tone2'>áo</span><span class = 'tone4'>yè </span><span class = 'tone1'>yī </span><span class = 'tone3'>zhěng wǎn</span>,<span class = 'tone2'>熬</span><span class = 'tone4'>夜</span><span class = 'tone5'>一</span><span class = 'tone1'>整</span><span class = 'tone5'>晚</span>,,,熬夜一整晚,_ _ _ _ _,<span class = 'tone2'>熬</span><span class = 'tone4'>夜</span><span class = 'tone5'>一</span><span class = 'tone1'>整</span><span class = 'tone5'>晚</span>
252,252,学会两个词,to learn two characters,<span class = 'tone5'>学会两个字</span>,<span class = 'tone5'>学会两个词</span>,,,學會兩個詞,_ _ _ _ _,<span class = 'tone5'>學會兩個詞</span>
253,253,毒贩,drug dealer/trafficker,<span class = 'tone2'>dú</span><span class = 'tone4'>fàn</span>,<span class = 'tone2'>毒</span><span class = 'tone4'>贩</span>,,,毒販,_ _,<span class = 'tone2'>毒</span><span class = 'tone4'>販</span>
254,254,阿根廷,Argentina,<span class = 'tone1'>āgēn</span><span class = 'tone2'>tí</span><span class = 'tone5'>ng</span>,<span class = 'tone1'>阿根</span><span class = 'tone2'>廷</span>,,,阿根廷,_ _ _,<span class = 'tone1'>阿根</span><span class = 'tone2'>廷</span>
255,255,技巧,a tip (w/ j),<span class = 'tone4'>jì</span><span class = 'tone3'>qiǎo</span>,<span class = 'tone4'>技</span><span class = 'tone3'>巧</span>,,,技巧,_ _,<span class = 'tone4'>技</span><span class = 'tone3'>巧</span>
256,256,进化,evolution<br>to evolve,<span class = 'tone4'>jìnhuà</span>,<span class = 'tone4'>进化</span>,,,進化,_ _,<span class = 'tone4'>進化</span>
257,257,独占,to monopolize<br>to control<br>to dominate,<span class = 'tone2'>dú</span><span class = 'tone4'>zhàn</span>,<span class = 'tone2'>独</span><span class = 'tone4'>占</span>,,,獨佔,_ _,<span class = 'tone2'>獨</span><span class = 'tone4'>佔</span>
258,258,虚伪的人,a hypocrite,<span class = 'tone1'>xū</span><span class = 'tone3'>wěi </span><span class = 'tone5'>de </span><span class = 'tone2'>rén</span>,<span class = 'tone1'>虚</span><span class = 'tone3'>伪</span><span class = 'tone5'>的人</span>,,,虛僞的人,_ _ _ _,<span class = 'tone1'>虛</span><span class = 'tone3'>僞</span><span class = 'tone5'>的人</span>
259,259,虚伪,hypocritical (w/ x)<br>artificial<br>false,<span class = 'tone1'>xū</span><span class = 'tone3'>wěi</span>,<span class = 'tone1'>虚</span><span class = 'tone3'>伪</span>,,,虛僞,_ _,<span class = 'tone1'>虛</span><span class = 'tone3'>僞</span>
260,260,假设,to assume<br>assumption (not 比方)<br>supposing that...,<span class = 'tone3'>jiǎ</span><span class = 'tone4'>shè</span>,<span class = 'tone3'>假</span><span class = 'tone4'>设</span>,,,假設,_ _,<span class = 'tone3'>假</span><span class = 'tone4'>設</span>
261,261,退出,to withdraw<br>to abort<br>to log out (computing),"<span class = 'tone5'>""</span><span class = 'tone4'>tuì </span><span class = 'tone1'>chū </span><span class = 'tone5'>""</span>",<span class = 'tone5'>退</span><span class = 'tone4'>出</span>,,[sound:退出_google_zh-CN.mp3],退出,_ _,<span class = 'tone5'>退</span><span class = 'tone4'>出</span>
262,262,上市,to hit the market (not 出售),<span class = 'tone4'>shàng shì</span>,<span class = 'tone4'>上</span><span class = 'tone5'>市</span>,,,上市,_ _,<span class = 'tone4'>上</span><span class = 'tone5'>市</span>
263,263,优步,Uber (company),<span class = 'tone5'>Y</span><span class = 'tone1'>ōu</span><span class = 'tone4'>bù</span>,<span class = 'tone5'>优</span><span class = 'tone1'>步</span>,,,優步,_ _,<span class = 'tone5'>優</span><span class = 'tone1'>步</span>
264,264,滴滴,Didi (company),<span class = 'tone5'>Dī</span><span class = 'tone1'>dī</span>,<span class = 'tone5'>滴</span><span class = 'tone1'>滴</span>,,,滴滴,_ _,<span class = 'tone5'>滴</span><span class = 'tone1'>滴</span>
265,265,保障,to ensure<br>to guarentee/safeguard (not 保证)<br>to safeguard,<span class = 'tone3'>bǎo</span><span class = 'tone4'>zhàng</span>,<span class = 'tone3'>保</span><span class = 'tone4'>障</span>,,,保障,_ _,<span class = 'tone3'>保</span><span class = 'tone4'>障</span>
266,266,退市,to exit the market<br>to be delisted (of a stock),<span class = 'tone4'>tuì shì</span>,<span class = 'tone4'>退</span><span class = 'tone5'>市</span>,,,退市,_ _,<span class = 'tone4'>退</span><span class = 'tone5'>市</span>
267,267,反复,repeatedly (w/ 反)<br>over and over,<span class = 'tone3'>fǎn </span><span class = 'tone4'>fù</span>,<span class = 'tone3'>反</span><span class = 'tone5'>复</span>,,,反覆,_ _,<span class = 'tone3'>反</span><span class = 'tone5'>覆</span>
268,268,腾讯,Tencent (Investment Holding Conglomerate),<span class = 'tone5'>T</span><span class = 'tone2'>én</span><span class = 'tone5'>g</span><span class = 'tone4'>xùn</span>,<span class = 'tone5'>腾</span><span class = 'tone2'>讯</span>,,,騰訊,_ _,<span class = 'tone5'>騰</span><span class = 'tone2'>訊</span>
269,269,声明,"a statement (by an important individual, organization - w/ sh)<br>a declaration",<span class = 'tone1'>shēng</span><span class = 'tone2'>míng</span>,<span class = 'tone1'>声</span><span class = 'tone2'>明</span>,,,聲明,_ _,<span class = 'tone1'>聲</span><span class = 'tone2'>明</span>
270,270,英勇,heroic (w/ y)<br>valiant,<span class = 'tone1'>yīng</span><span class = 'tone3'>yǒng</span>,<span class = 'tone1'>英</span><span class = 'tone3'>勇</span>,,,英勇,_ _,<span class = 'tone1'>英</span><span class = 'tone3'>勇</span>
271,271,光荣,honor (w/ g),<span class = 'tone1'>guāng</span><span class = 'tone2'>róng</span>,<span class = 'tone1'>光</span><span class = 'tone2'>荣</span>,,,光榮,_ _,<span class = 'tone1'>光</span><span class = 'tone2'>榮</span>
272,272,广场,plaza/square,<span class = 'tone3'>guǎngchǎng</span>,<span class = 'tone3'>广场</span>,,,廣場,_ _,<span class = 'tone3'>廣場</span>
273,273,鲜明,bright (w/ x)<br>clear-cut<br>distinct,"<span class = 'tone5'>""</span><span class = 'tone1'>xiān</span><span class = 'tone2'>míng </span><span class = 'tone5'>""</span>",<span class = 'tone5'>鲜</span><span class = 'tone1'>明</span>,,[sound:鲜明_google_zh-CN.mp3],鮮明,_ _,<span class = 'tone5'>鮮</span><span class = 'tone1'>明</span>
274,274,照亮,to illuminate<br>to light up<br>lighting,<span class = 'tone4'>zhàoliàng</span>,<span class = 'tone4'>照亮</span>,,,照亮,_ _,<span class = 'tone4'>照亮</span>
275,275,规矩,manners<br>to behave/good-behavior,<span class = 'tone1'>guī</span><span class = 'tone5'>ju</span>,<span class = 'tone1'>规</span><span class = 'tone5'>矩</span>,,,規矩,_ _,<span class = 'tone1'>規</span><span class = 'tone5'>矩</span>
276,276,规律,rule (of nature)<br>discipline<br>regular (pattern),<span class = 'tone1'>guī</span><span class = 'tone4'>lǜ</span>,<span class = 'tone1'>规</span><span class = 'tone4'>律</span>,,,規律,_ _,<span class = 'tone1'>規</span><span class = 'tone4'>律</span>
277,277,结账,"to check-out (from hotel, store)","<span class = 'tone5'>""</span><span class = 'tone2'>jié</span><span class = 'tone4'>zhàng </span><span class = 'tone5'>""</span>",<span class = 'tone5'>结</span><span class = 'tone2'>账</span>,,[sound:结账_google_zh-CN.mp3],結賬,_ _,<span class = 'tone5'>結</span><span class = 'tone2'>賬</span>
278,278,切碎,to chop (w/ q),<span class = 'tone1'>qiē</span><span class = 'tone4'>suì</span>,<span class = 'tone1'>切</span><span class = 'tone4'>碎</span>,,,切碎,_ _,<span class = 'tone1'>切</span><span class = 'tone4'>碎</span>
279,279,国籍,nationality,<span class = 'tone2'>guójí</span>,<span class = 'tone2'>国籍</span>,,,國籍,_ _,<span class = 'tone2'>國籍</span>
280,280,不分,irrespective of...<br>to not distinguish between...,<span class = 'tone4'>bù</span><span class = 'tone1'>fēn</span>,<span class = 'tone4'>不</span><span class = 'tone1'>分</span>,,,不分,_ _,<span class = 'tone4'>不</span><span class = 'tone1'>分</span>
281,281,雇佣,to employ (w/ g)<br>to hire,<span class = 'tone4'>gù</span><span class = 'tone1'>yōng</span>,<span class = 'tone4'>雇</span><span class = 'tone1'>佣</span>,,,僱傭,_ _,<span class = 'tone4'>僱</span><span class = 'tone1'>傭</span>
282,282,国庆节,National Day,<span class = 'tone2'>guó</span><span class = 'tone4'>qìng </span><span class = 'tone2'>jié</span>,<span class = 'tone2'>国</span><span class = 'tone4'>庆</span><span class = 'tone5'>节</span>,,,國慶節,_ _ _,<span class = 'tone2'>國</span><span class = 'tone4'>慶</span><span class = 'tone5'>節</span>
283,283,树干,tree trunk,<span class = 'tone4'>shùgàn</span>,<span class = 'tone4'>树干</span>,,,樹幹,_ _,<span class = 'tone4'>樹幹</span>
284,284,果实,fruit (w/ g),<span class = 'tone3'>guǒ</span><span class = 'tone2'>shí</span>,<span class = 'tone3'>果</span><span class = 'tone2'>实</span>,,,果實,_ _,<span class = 'tone3'>果</span><span class = 'tone2'>實</span>
285,285,海关,customs (as in border crossing inspection),<span class = 'tone3'>hǎi</span><span class = 'tone1'>guān</span>,<span class = 'tone3'>海</span><span class = 'tone1'>关</span>,,,海關,_ _,<span class = 'tone3'>海</span><span class = 'tone1'>關</span>
286,286,胡同,Hutong<br>lane<br>alley,<span class = 'tone2'>hú</span><span class = 'tone4'>tòng</span>,<span class = 'tone2'>胡</span><span class = 'tone4'>同</span>,,,衚衕,_ _,<span class = 'tone2'>衚</span><span class = 'tone4'>衕</span>
287,287,沏,to steep (tea),<span class = 'tone1'>qī</span>,<span class = 'tone1'>沏</span>,,,沏,_,<span class = 'tone1'>沏</span>
288,288,蝴蝶,butterfly,<span class = 'tone2'>húdié</span>,<span class = 'tone2'>蝴蝶</span>,只,,蝴蝶,_ _,<span class = 'tone2'>蝴蝶</span>
289,289,飞蛾,moth,"<span class = 'tone5'>""</span><span class = 'tone1'>fēi</span><span class = 'tone5'>'</span><span class = 'tone2'>é</span><span class = 'tone5'>""</span>",<span class = 'tone5'>飞</span><span class = 'tone1'>蛾</span>,,,飛蛾,_ _,<span class = 'tone5'>飛</span><span class = 'tone1'>蛾</span>
290,290,种类,kind (w/ zh)<br>variety<br>species,<span class = 'tone3'>zhǒng</span><span class = 'tone4'>lèi</span>,<span class = 'tone3'>种</span><span class = 'tone4'>类</span>,,,種類,_ _,<span class = 'tone3'>種</span><span class = 'tone4'>類</span>
291,291,渴望,to thirst for<br>to long for,<span class = 'tone3'>kě</span><span class = 'tone4'>wàng</span>,<span class = 'tone3'>渴</span><span class = 'tone4'>望</span>,,,渴望,_ _,<span class = 'tone3'>渴</span><span class = 'tone4'>望</span>
